"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_26942",TRUE,"g__Aurantimicrobium","f__Microbacteriaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_26982",TRUE,"g__","f__","o__SM1A07","p__Bacteroidota","k__Bacteria"
"ASV_26997",TRUE,"g__","f__","o__PeM15","p__Actinobacteriota","k__Bacteria"
"ASV_27021",TRUE,"g__","f__","o__","p__Actinobacteriota","k__Bacteria"
"ASV_27172",TRUE,"g__","f__Neisseriaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27316",TRUE,"g__","f__","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27323",TRUE,"g__Methylophilus","f__Methylophilaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27334",TRUE,"g__Aquabacterium","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27382",TRUE,"g__Ramlibacter","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27388",TRUE,"g__Rhodoferax","f__Comamonadaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27452",TRUE,"g__Methyloversatilis","f__Rhodocyclaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27454",TRUE,"g__Methyloversatilis","f__Rhodocyclaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27488",TRUE,"g__Methylophilus","f__Methylophilaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27492",TRUE,"g__Dechlorobacter","f__Rhodocyclaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27527",TRUE,"g__Denitratisoma","f__Rhodocyclaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27557",TRUE,"g__Methylotenera","f__Methylophilaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27558",TRUE,"g__Candidatus Methylopumilus","f__Methylophilaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27641",TRUE,"g__","f__Neisseriaceae","o__Burkholderiales","p__Proteobacteria","k__Bacteria"
"ASV_27727",TRUE,"g__","f__","o__Candidatus Curtissbacteria","p__Patescibacteria","k__Bacteria"
"ASV_27735",TRUE,"g__Bifidobacterium","f__Bifidobacteriaceae","o__Bifidobacteriales","p__Actinobacteriota","k__Bacteria"
"ASV_27786",TRUE,"g__Corynebacterium","f__Corynebacteriaceae","o__Corynebacteriales","p__Actinobacteriota","k__Bacteria"
"ASV_27862",TRUE,"g__Aestuariimicrobium","f__Propionibacteriaceae","o__Propionibacteriales","p__Actinobacteriota","k__Bacteria"
"ASV_28035",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_28065",TRUE,"g__Facklamia","f__Aerococcaceae","o__Lactobacillales","p__Firmicutes","k__Bacteria"
"ASV_28074",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_28094",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_28102",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28106",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28120",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_28127",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
